ID,Smiles
1,CC1=CC(=NC(=O)N1)C2=CC=CC=C2
2,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3
3,CC1=CC=CC=C1NC(=O)C2CCCN2C(=O)NC3CCCCC3
4,CC1CN2C3=C(N=C2O1)N(C(=O)NC3=O)C
5,C1CC(CN(C1)S(=O)(=O)C2=CC=C(C=C2)N3C=NN=N3)C(=O)NCC4CC4
6,CC1=NN2C(NC3=CC=CC=C3C2=C1)C4=CSC=C4
7,CC1=NN=C(S1)NC(=O)CSC2=NN=C(N2C)CCC3=NC4=CC=CC=C4N3
8,COC1=NC(=NC(=N1)NCC=C)NCCN2CCOCC2
9,C1CCC(CC1)NC(=O)C(C2=CN=CC=C2)N(C3=CN=CC=C3)C(=O)CNC(=O)C4=CC=CO4
10,CN1C=NN=C1SCC2=NC(=NC(=N2)NC3=CC=CC=C3OC)N
11,CC(C)CCN1C2=C(N=C1SC(C)C(=O)OC)N(C(=O)NC2=O)C
12,CCOC1=CC=C(C=C1)NC(=O)CSC2=NC3=C(N2CCOC)N=CC=C3
13,CC(C)C(=O)NC1=NC=C(C=C1)NC(=O)C2=CC(=CC=C2)F
14,CC(C(=O)NCC1(CCCC1)C2=CC=CC=C2)N3CCCC3.Cl
15,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NCC3=CC=CO3
16,C1CCCC(CC1)NC(=O)C2=NN3C=CC=NC3=N2
17,C1CCC2=C(C1)C(=C(S2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3CC5=CC=CO5)C#N
18,C1CCC(CC1)OC(=O)CN2N=C(N=N2)C3=CC=CS3
19,CCCC1=CC(=O)OC2=CC(=C(C=C12)Cl)OCC(=O)N(C)C
20,CCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=CC=CC=C3C(=O)OCC)O
21,C1=CSC(=C1)C2=NN=C(O2)SCC3=CC=C(C=C3)F
22,COC1=CC=C(C=C1)C(=O)C(C2=CC=CC=C2)N3CCOCC3.Cl
23,COCC(=O)N(CCC1=CC=C(C=C1)OC)CC2=NC3=CC=CC=C3C(=O)N2
24,CC1=C(C(=CC=C1)C)NC(=O)N2CCC(CC2)C3=NC4=CC=CC=C4O3
25,COC1=CC2=C(C=C1)NC3=C2C=C(C=C3)OC
26,CC(=O)C1=C(C(=O)N(C1C2=CC=C(C=C2)F)CCOC)O
27,C1COC2=C(O1)C=CC(=C2)NC(=O)CN3C4=CC=CC=C4SC3=O
28,COC1=CC(=C(C=C1NC(=O)CN2CCCCC2)OC)NC(=O)C3CCCCC3
29,CC(C(=O)NCCCN1C=CN=C1)OC2=C(C=C(C=C2)Cl)Cl
30,C1CC(C1)(C2=CC(=CC=C2)Cl)C(=O)O
31,CC1=CC=C(O1)CN(C2CC(NC(C2)(C)C)(C)C)C(=O)C3=C(C=CC=C3F)F.Cl
32,CCCC(=O)NC1=CC(=C(C=C1)N2CCN(CC2)CC)Cl.Cl
33,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=NN=NN3CC4=CC=CC=C4)C5CCCC5
