ID,Smiles
1,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCOCC12
2,Cc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1
3,NC(=O)c1c(F)ccc2[nH]c(C3CCCNC3)nc12
4,O=c1[nH]nc2c3c(cccc13)N=C(CNCc1cccc(C(F)(F)F)c1)N2
5,CC(=O)Nc1ccc(C2Nc3cc(F)cc4c(=O)[nH]nc(c34)C2c2ncnn2C)cc1
6,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CC=C(c4ccccc4)CC3)c(O)cc(O)c12
7,O=C1NC(=O)c2c1c1c(c3oc4ccccc4c23)CCC1
8,O=C(c1cnn2c1[nH]c(=O)c1ccccc12)N1CCCNCC1
9,CCCN1CCC(c2nc3cncc4c3n2CCNC4=O)CC1
10,Nc1ccc2[nH]c(=O)c3ccccc3c2c1
11,NC(=O)c1cc(F)cc2[nH]c(C(=O)N3CCC(NC4CCCCC4)C3)nc12
12,Cn1cccc1/C=C1\C(=O)NC(=O)c2ccccc21
13,O=c1[nH]c(-c2ccc(Br)cc2)nc2ccccc12
14,O=c1[nH]c2c(c(-c3ccccc3)nn2-c2ccccc2)c2c1CCCC2
15,CCC(=O)N1CCN(C(=O)c2nc3c(C(N)=O)cccc3[nH]2)CC1
16,O=c1[nH]c(N2CC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12
17,COc1ccc(N2CCN(c3nc4c(c(=O)[nH]3)CC(F)(F)CC4)CC2)cc1
18,O=C(NCC1=Nc2cccc3c(=O)[nH]nc(c23)N1)c1ccc([N+](=O)[O-])cc1
19,CC1Cc2cc(N)cc(C(N)=O)c2O1
20,O=C(Nc1cccc(Cl)c1)c1cc(Cl)cc(Cl)c1O
21,O=c1[nH]c2ccc(OC3CCN(Cc4ccccc4)CC3)cc2c2c1CSCC2
22,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2O)CC1
23,O=C(OCc1ccccc1)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1
24,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1
25,NC(=O)c1ccccc1OCCc1ccc(F)c(C(=O)N2CCNCC2)c1
26,NC(=O)c1cccc2c1O/C(=C\c1cc(O)cc(O)c1)C2=O
27,NC(=O)c1cccc2c1C(=O)N(C1CCN(Cc3ccccc3Br)CC1)C2
28,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4[nH]ccc4c3)nc(N3CCOCC3)n2)CC1
29,CC(C)(C)OC(=O)N1CCC(N2CCC(NC(=O)c3nc4c(C(N)=O)cccc4[nH]3)CC2)CC1
30,COc1ccc(C(=O)C2CCN([C@@H]3CCN(Cc4nc5ccccc(=O)c5[nH]4)C3=O)CC2)cc1
31,O=C1NCC2c3c(cccc31)CCN2CC(=O)N1CCn2c(nnc2C(F)(F)F)C1
32,CN(C)Cc1ccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccc(C(F)(F)F)cc2)cc1
33,Cc1cccc2c(=O)[nH]c(-c3ccc(Br)cc3)nc12
34,NC(=O)c1cccc2c1C(=O)N(CCCN1CCOCC1)C2
