ID,Smiles
ZINC1,C[C@@H](S)C(=O)NCC(=O)O
ZINC2,COc1ccccc1OC[C@H](O)CO
ZINC3,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
ZINC4,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
ZINC5,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21
ZINC6,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4
ZINC7,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
ZINC8,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1
ZINC9,CN(C)CC[C@H](c1ccc(Br)cc1)c1ccccn1
ZINC10,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
ZINC11,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
ZINC12,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
ZINC13,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
ZINC14,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
ZINC15,Cc1cc(C2CCCCC2)n(O)c(=O)c1
ZINC16,CN(C/C=C\c1ccccc1)Cc1cccc2ccccc12
ZINC17,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
ZINC18,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1
ZINC19,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
ZINC20,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1
ZINC21,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1
ZINC22,CC(=O)Oc1cc2c(s1)CCN([C@@H](C(=O)C1CC1)c1ccccc1F)C2
ZINC23,C[N+](C)(C)C[C@H](O)CC(=O)O
ZINC24,CN(C)CCOC(=O)[C@@H](c1ccccc1)C1(O)CCCC1
ZINC25,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
ZINC26,O=C(O)O
ZINC27,Cc1cc(C)cc(OC[C@@H]2CNC(=O)O2)c1
ZINC28,C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
ZINC29,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
ZINC30,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
ZINC31,C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
ZINC32,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
ZINC33,Cc1cccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1
ZINC34,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
ZINC35,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
ZINC36,N[C@@H](Cc1c[nH]cn1)C(=O)O
ZINC37,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
ZINC38,C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O
ZINC39,C/C(O)=N/S(=O)(=O)c1ccc(N)cc1
ZINC40,CN(C)CC/C=C1/c2ccccc2COc2ccccc21
ZINC41,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O
ZINC42,CN[C@@H](C)Cc1ccccc1
ZINC43,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1
ZINC44,Nc1nc2ccc(OC(F)(F)F)cc2s1
ZINC45,Clc1ccc2nsnc2c1N=C1NCCN1
ZINC46,CO[C@H]1C[C@H]2CC[C@H](C)[C@](O)(O2)C(=O)C(=O)N2CCCC[C@@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](C)C[C@@H](C)/C=C/C=C/C=C/1C
ZINC47,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O
ZINC48,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
ZINC49,CCCCN(CCCC)C[C@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
ZINC50,Clc1ccc([C@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
ZINC51,CC(C)[C@H](N)C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21
ZINC52,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
ZINC53,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12
ZINC54,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
ZINC55,O=C(O)CN(CCN(CC(=O)O)C[C@@H](CO[P@](=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O
ZINC56,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
ZINC57,COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2
ZINC58,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
ZINC59,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
ZINC60,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I
ZINC61,O=C(O)CCCCCCCC(=O)O
ZINC62,Nc1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
ZINC63,CC(C)[C@@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
ZINC64,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
ZINC65,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
ZINC66,CN[C@H](C)Cc1ccccc1
ZINC67,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
ZINC68,O=C(c1ccccc1)c1ccccc1
ZINC69,Cc1ncc([N+](=O)[O-])n1C[C@H](C)O
ZINC70,C[C@H](N)Cc1ccc(O)cc1
ZINC71,Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O
ZINC72,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3
ZINC73,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
ZINC74,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
ZINC75,COC(=O)/C=C/C(=O)OC
ZINC76,CC(=O)N(C[C@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I
ZINC77,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
ZINC78,CCCN[C@H]1CCc2nc(N)sc2C1
ZINC79,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1
ZINC80,CN(C)C[C@@H](c1ccc(O)cc1)C1(O)CCCCC1
ZINC81,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12
ZINC82,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
ZINC83,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
ZINC84,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@]21CC
ZINC85,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC86,C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
ZINC87,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC88,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
ZINC89,NCCNCCNCCN
ZINC90,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
ZINC91,C[C@@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
ZINC92,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC93,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
ZINC94,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
ZINC95,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1
ZINC96,CCCCCCCCCCCCCCCCCC(=O)O
ZINC97,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21
ZINC98,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C
ZINC99,CN[C@H]1[C@H](O)[C@H](O[C@@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@H]2O)OC[C@@]1(C)O
ZINC100,CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2
ZINC101,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
ZINC102,Clc1ccc([C@@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
ZINC103,O=NN(CCCl)C(=O)NC1CCCCC1
ZINC104,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O
ZINC105,CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21
ZINC106,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
ZINC107,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1
ZINC108,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
ZINC109,Cc1ccc(/C=C2\C(=O)[C@]3(C)CC[C@H]2C3(C)C)cc1
ZINC110,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
ZINC111,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1
ZINC112,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
ZINC113,COc1ccc(C(=O)c2ccccc2)c(O)c1
ZINC114,CN[C@H](C)[C@@H]1CC[C@H](N)[C@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3OC[C@](C)(O)[C@H](NC)[C@@H]3O)[C@@H](N)C[C@H]2N)O1
ZINC115,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC116,O=C1C(O)=C([C@@H]2CC[C@@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
ZINC117,CC(C)(S)[C@H](N)C(=O)O
ZINC118,CC(=O)N(C[C@@H](O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I
ZINC119,C[C@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
ZINC120,C[C@@H](O)[C@H](N)C(=O)O
ZINC121,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
ZINC122,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C
ZINC123,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O
ZINC124,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
ZINC125,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2
ZINC126,C=CC[C@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O
ZINC127,C[C@@H](N)C12CC3CC(CC(C3)C1)C2
ZINC128,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
ZINC129,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
ZINC130,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
